杭州 oss-cn-hangzhou.aliyuncs.com
上海 oss-cn-shanghai.aliyuncs.com
青岛 oss-cn-qingdao.aliyuncs.com
北京 oss-cn-beijing.aliyuncs.com
张家口 oss-cn-zhangjiakou.aliyuncs.com
呼和浩特 oss-cn-huhehaote.aliyuncs.com
深圳 oss-cn-shenzhen.aliyuncs.com
河源 oss-cn-heyuan.aliyuncs.com
成都 oss-cn-chengdu.aliyuncs.com
香港 oss-cn-hongkong.aliyuncs.com
硅谷 oss-us-west-1.aliyuncs.com
弗吉尼亚 oss-us-east-1.aliyuncs.com
新加坡 oss-ap-southeast-1.aliyuncs.com
悉尼 oss-ap-southeast-2.aliyuncs.com
吉隆坡 oss-ap-southeast-3.aliyuncs.com
雅加达 oss-ap-southeast-5.aliyuncs.com
东京 oss-ap-northeast-1.aliyuncs.com
孟买 oss-ap-south-1.aliyuncs.com
法兰克福 oss-eu-central-1.aliyuncs.com
伦敦 oss-eu-west-1.aliyuncs.com
迪拜 oss-me-east-1.aliyuncs.com
